Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,56.450001,56.459999,56.330002,56.400002,18900,54.111338
2013-12-30,56.400002,56.459999,56.400002,56.43,17600,54.140119
2013-12-27,56.310001,56.369999,56.279999,56.369999,36400,54.082553
2013-12-26,56.43,56.48,56.43,56.459999,62400,54.061448
2013-12-24,56.599998,56.599998,56.490002,56.490002,33900,54.090176
2013-12-23,56.689999,56.700001,56.619999,56.630001,33400,54.224227
2013-12-20,56.529999,56.669998,56.52,56.650002,37400,54.243378
2013-12-19,56.599998,56.630001,56.529999,56.610001,26600,54.205077
2013-12-18,56.689999,56.790001,56.59,56.73,31800,54.319978
2013-12-17,56.580002,56.740002,56.50,56.73,46600,54.319978
2013-12-16,56.669998,56.720001,56.639999,56.639999,34300,54.233801
2013-12-13,56.540001,56.66,56.540001,56.59,31200,54.185926
2013-12-12,56.57,56.610001,56.52,56.580002,20000,54.176352
2013-12-11,56.689999,56.709999,56.619999,56.639999,18900,54.233801
2013-12-10,56.59,56.73,56.57,56.700001,124400,54.291253
2013-12-09,56.41,56.509998,56.41,56.439999,30000,54.042297
2013-12-06,56.419998,56.490002,56.389999,56.48,89300,54.080598
2013-12-05,56.41,56.439999,56.380001,56.389999,56600,53.994422
2013-12-04,56.470001,56.540001,56.459999,56.48,24700,54.080598
2013-12-03,56.650002,56.669998,56.610001,56.610001,37400,54.205077
2013-12-02,56.68,56.740002,56.610001,56.630001,27100,54.224227
2013-11-29,56.790001,56.869999,56.790001,56.869999,8900,54.348701
2013-11-27,56.91,56.919998,56.799999,56.889999,59600,54.367815
2013-11-26,56.849998,56.900002,56.849998,56.860001,42200,54.339146
2013-11-25,56.830002,56.849998,56.810001,56.84,20700,54.320032
2013-11-22,56.799999,56.84,56.73,56.779999,72200,54.262691
2013-11-21,56.639999,56.75,56.639999,56.709999,28000,54.195795
2013-11-20,56.860001,56.939999,56.700001,56.73,35400,54.214908
2013-11-19,56.990002,56.990002,56.91,56.919998,43800,54.396484
2013-11-18,56.860001,57.040001,56.860001,57.029999,21200,54.501607
2013-11-15,56.869999,56.869999,56.82,56.869999,15100,54.348701
2013-11-14,56.77,56.82,56.720001,56.82,25900,54.300918
2013-11-13,56.68,56.720001,56.68,56.700001,24100,54.18624
2013-11-12,56.709999,56.709999,56.630001,56.650002,25900,54.138457
2013-11-11,56.689999,56.689999,56.560001,56.619999,261600,54.109785
2013-11-08,56.740002,56.740002,56.599998,56.639999,29900,54.128898
2013-11-07,56.98,57.009998,56.93,56.939999,24300,54.415597
2013-11-06,56.880001,57.009998,56.849998,57.009998,49400,54.482494
2013-11-05,56.810001,56.91,56.790001,56.790001,66500,54.27225
2013-11-04,56.91,57.029999,56.91,56.93,50800,54.406042
2013-11-01,57.040001,57.110001,56.959999,57.00,38200,54.472939
2013-10-31,57.169998,57.209999,57.150002,57.18,25300,54.538879
2013-10-30,57.299999,57.34,57.16,57.189999,15500,54.548415
2013-10-29,57.150002,57.240002,57.150002,57.220001,13100,54.577032
2013-10-28,57.27,57.299999,57.189999,57.200001,12200,54.557955
2013-10-25,57.139999,57.259998,57.139999,57.200001,15100,54.557955
2013-10-24,57.220001,57.259998,57.169998,57.18,24200,54.538879
2013-10-23,57.169998,57.27,57.169998,57.189999,22700,54.548415
2013-10-22,57.080002,57.209999,57.080002,57.169998,26400,54.529338
2013-10-21,56.919998,57.029999,56.919998,56.950001,39400,54.319503
2013-10-18,57.099998,57.099998,57.009998,57.029999,25500,54.395806
2013-10-17,56.93,57.00,56.91,56.919998,18500,54.290886
2013-10-16,56.700001,56.860001,56.59,56.84,37700,54.214583
2013-10-15,56.740002,56.790001,56.669998,56.700001,30400,54.08105
2013-10-14,56.720001,56.75,56.630001,56.650002,20700,54.03336
2013-10-11,56.720001,56.720001,56.630001,56.630001,32800,54.014284
2013-10-10,56.619999,56.689999,56.57,56.68,55100,54.061973
2013-10-09,56.709999,56.77,56.599998,56.619999,707700,54.004743
2013-10-08,56.77,56.810001,56.75,56.790001,54300,54.166893
2013-10-07,56.779999,56.869999,56.75,56.75,20300,54.12874
2013-10-04,56.720001,56.810001,56.720001,56.810001,16700,54.18597
2013-10-03,56.669998,56.900002,56.669998,56.900002,55600,54.271813
2013-10-02,56.68,56.810001,56.68,56.759998,32300,54.138276
2013-10-01,56.700001,56.810001,56.50,56.689999,72900,54.07151
2013-09-30,56.919998,56.970001,56.880001,56.970001,21000,54.237476
2013-09-27,56.889999,56.919998,56.740002,56.880001,19200,54.151793
2013-09-26,56.810001,56.849998,56.75,56.830002,60200,54.104192
2013-09-25,56.759998,56.880001,56.759998,56.860001,21300,54.132752
2013-09-24,56.639999,56.799999,56.639999,56.740002,14000,54.018509
2013-09-23,56.439999,56.720001,56.439999,56.700001,144700,53.980426
2013-09-20,56.470001,56.509998,56.380001,56.389999,28900,53.685294
2013-09-19,56.630001,56.630001,56.419998,56.439999,87200,53.732895
2013-09-18,56.290001,56.689999,56.169998,56.630001,28700,53.913784
2013-09-17,56.32,56.349998,56.290001,56.330002,32100,53.628174
2013-09-16,56.450001,56.450001,56.259998,56.259998,34300,53.561528
2013-09-13,56.209999,56.32,56.09,56.220001,20500,53.52345
2013-09-12,56.259998,56.259998,56.189999,56.189999,12600,53.494886
2013-09-11,55.880001,56.240002,55.759998,56.189999,641400,53.494886
2013-09-10,55.799999,55.900002,55.709999,55.709999,42900,53.037909
2013-09-09,55.900002,55.98,55.889999,55.889999,22400,53.209276
2013-09-06,55.82,55.950001,55.779999,55.919998,43600,53.237836
2013-09-05,55.790001,55.91,55.580002,55.610001,76300,52.942707
2013-09-04,56.009998,56.07,55.93,55.950001,15900,53.2664
2013-09-03,55.990002,56.09,55.849998,56.07,8800,53.380643
2013-08-30,56.43,56.43,56.220001,56.220001,20300,53.426342
2013-08-29,56.220001,56.41,56.220001,56.299999,22800,53.502365
2013-08-28,56.299999,56.369999,56.220001,56.27,25400,53.473856
2013-08-27,56.259998,56.389999,56.240002,56.34,56400,53.540378
2013-08-26,56.290001,56.290001,56.099998,56.220001,59500,53.426342
2013-08-23,56.00,56.189999,55.919998,56.130001,137600,53.340814
2013-08-22,56.049999,56.080002,55.889999,56.049999,14600,53.264787
2013-08-21,56.07,56.130001,55.98,56.07,16100,53.283794
2013-08-20,56.02,56.119999,56.00,56.119999,68200,53.331309
2013-08-19,56.02,56.139999,55.939999,56.029999,25300,53.245781
2013-08-16,56.34,56.360001,56.09,56.290001,139800,53.492863
2013-08-15,56.400002,56.439999,56.259998,56.310001,904100,53.51187
2013-08-14,56.50,56.610001,56.459999,56.610001,47900,53.796961
2013-08-13,56.59,56.650002,56.549999,56.650002,56600,53.834975
2013-08-12,56.889999,56.919998,56.779999,56.860001,84900,54.034539
2013-08-09,56.549999,56.93,56.549999,56.919998,862500,54.091555
2013-08-08,56.669998,56.889999,56.639999,56.73,27900,53.910997
2013-08-07,56.720001,56.75,56.560001,56.720001,19000,53.901496
2013-08-06,56.549999,56.720001,56.529999,56.669998,26200,53.853978
